Month,VENDOR CODE,Vendor Name,Sales,Txn Count,ABS Shipping Variance,Avg Order Handling time,Pre-fulfillment Cancellation,Pricing Mismatch,Non-AMZ.com Sales,YTD Sales,YTD Purchase Cost,YTD Sales Return,YTD CM,Shipping Type,Total Active SKU,SKU with VV in BuyBox,YTD Sales Target,YTD CM Target,Credit Terms,Accepts Sales Returns,Exclusive Sales,Gross Margin %,BuyBox Win Rate %,Avg Order Handing Time,Pre-fulfillment Cancellations %,Credit Terms Final,Pricing Mismatch %,Returns Terms Final,Shipping provided by Vendor (SPV) Final,Abs Shipping Variance / Sales %,Exclusive SKU Sales / Total Sales %,Contribution Margin Bridge Gap %,Sales Return Rate %,% of Non Amazon.com Sales,Gross Margin Score,BuyBox Win Rate Score,Operational Performance - Handling Time,Operational Performance - Pre-fulfillment cancellations,Operational Performance - Credit Terms,Operational Performance - Pricing Update Errors,Operational Performance - Accepts Returns,Operational Performance - Vendor-account shipping,Operational Performance - Shipping cost variance,Operational Performance - Exclusivity,Operational Performance Total,Contribution Margin Bridge Gap,Sales Return Rate Score,Non-Amazon.com Sales Score,TOTAL SCORE
Aug-24,ORBE,Orbelle Trading Co. Inc.,1023,5,27,1.27,0,0,788,1480,1001,490,82,VV,0,0,105000,8400,FALSE,TRUE,0,32.35,0,1.27,0,No Credit,0,Yes,FALSE,2.65,0,0.98,33.09,77.03,0,8,3,3,0,3,3,0,0,0,12,0,0,10,30
Aug-24,FMSY,Farm Supply,1022,7,150,2.02,0,0,840,11006,6811,0,741,VV,16,3,105000,8400,FALSE,TRUE,0,38.12,18.75,2.02,0,No Credit,0,Yes,FALSE,14.67,0,8.82,0,82.2,2,10,1,3,0,3,3,0,0,0,10,0,10,10,42
Aug-24,ALCA,Aller Air,1013,1,0,1.92,0,0,1013,722,516,72,22,VV,0,0,105000,8400,FALSE,TRUE,0,28.44,0,1.92,0,No Credit,0,Yes,FALSE,0,0,0.26,10,100,0,8,2,3,0,3,3,0,3,0,14,0,0,10,32
Aug-24,UMBR,Umbra Store,995,27,99,2.76,0,5,84,7567,3400,302,275,VV,0,0,105000,8400,FALSE,TRUE,0,55.07,0,2.76,0,No Credit,18.52,Yes,FALSE,9.92,0,3.28,3.99,8.42,15,8,0,3,0,1,3,0,0,0,7,0,8,2,40
Aug-24,BEBE,bellabeat,990,12,172,0.57,0,3,990,12432,7526,2474,2099,VV,0,0,105000,8400,FALSE,TRUE,0,39.46,0,0.57,0,No Credit,25,Yes,FALSE,17.38,0,24.99,19.9,100,3,8,3,3,0,0,3,0,0,0,9,0,0,10,30
Aug-24,KRLL,Kroll International LLC,971,10,147,2.95,0,0,971,2167,834,0,220,VV,0,0,105000,8400,FALSE,TRUE,0,61.51,0,2.95,0,No Credit,0,Yes,FALSE,15.1,0,2.62,0,100,15,8,0,3,0,3,3,0,0,0,9,0,10,10,52
Aug-24,RDIC,Rod Desyne Inc,966,11,49,1.36,1,10,966,14632,8323,1303,1301,VV,5,5,105000,8400,FALSE,TRUE,0,43.12,100,1.36,9.09,No Credit,90.91,Yes,FALSE,5.07,0,15.49,8.91,100,6,15,2,1,0,0,3,0,0,0,7,0,1,10,38
Aug-24,USSC,United States Stove Company,960,11,23,2.17,0,1,539,49745,33402,4873,2111,VV,11,4,105000,8400,FALSE,TRUE,0,32.85,36.36,2.17,0,No Credit,9.09,Yes,FALSE,2.36,0,25.13,9.8,56.14,0,15,1,3,0,2,3,0,1,0,10,0,0,10,35
Aug-24,HLTH,Healthnut Alternatives,956,8,8,1.62,0,0,0,4523,3493,144,188,VV,0,0,105000,8400,FALSE,TRUE,0,22.77,0,1.62,0,No Credit,0,Yes,FALSE,0.88,0,2.24,3.19,0,0,8,2,3,0,3,3,0,3,0,14,0,9,0,31
Aug-24,MODE,Modern Day Accents LLC,951,11,54,1.7,0,1,322,7740,3934,390,1448,VV,13,1,105000,8400,FALSE,TRUE,0,49.18,7.69,1.7,0,No Credit,9.09,Yes,FALSE,5.63,0,17.24,5.04,33.9,11,2,2,3,0,2,3,0,0,0,10,0,6,10,39
Aug-24,GTRS,GTR Simulator,927,1,49,1.97,0,1,927,2299,1287,241,621,VV,0,0,105000,8400,FALSE,TRUE,0,44.02,0,1.97,0,No Credit,100,Yes,FALSE,5.32,0,7.39,10.46,100,7,8,2,3,0,0,3,0,0,0,8,0,0,10,33
Aug-24,JOYC,Joy Carpets,914,5,6,7.87,0,4,716,4341,3101,0,181,VV,16,1,105000,8400,FALSE,TRUE,0,28.56,6.25,7.87,0,No Credit,80,Yes,FALSE,0.68,0,2.16,0,78.34,0,1,0,3,0,0,3,0,3,0,9,0,10,10,30
Aug-24,WMLG,Whiteline Modern Living,912,1,2,0.22,0,0,912,12943,7057,2613,423,VV,0,0,105000,8400,FALSE,TRUE,0,45.48,0,0.22,0,No Credit,0,Yes,FALSE,0.26,0,5.04,20.19,100,8,8,3,3,0,3,3,0,3,0,15,0,0,10,41
Aug-24,MOOR,MooreCo Inc,909,2,138,0,1,1,0,9033,6832,0,427,VV,5,3,105000,8400,FALSE,TRUE,0,24.36,60,0,50,No Credit,50,Yes,FALSE,15.14,0,5.08,0,0,0,15,3,0,0,0,3,0,0,0,6,0,10,0,31
Aug-24,CENP,Cenports,909,4,0,1.88,3,0,0,2003,1157,30,285,VV,1,1,105000,8400,FALSE,TRUE,0,42.24,100,1.88,75,No Credit,0,Yes,FALSE,0,0,3.39,1.5,0,5,15,2,0,0,3,3,0,3,0,11,0,10,0,41
Aug-24,ENDT,ESSENDANT,904,11,76,3.37,2,9,838,7699,4029,0,392,VV,9,4,105000,8400,FALSE,TRUE,0,47.67,44.44,3.37,18.18,No Credit,81.82,Yes,FALSE,8.39,0,4.67,0,92.67,9,15,0,0,0,0,3,0,0,0,3,0,10,10,47
Aug-24,ALCO,Alco Prevention,880,6,57,1.79,0,6,880,11356,7952,0,534,VV,0,0,105000,8400,FALSE,TRUE,0,29.97,0,1.79,0,No Credit,100,Yes,FALSE,6.46,0,6.35,0,100,0,8,2,3,0,0,3,0,0,0,8,0,10,10,36
